  data : 1 13 19 21 24 31 , kpi : 5, rept: 1 2 3 4, cover: 23 30 32 33
  data : 1 13 20 23 24 30 , kpi : 6, rept: 1 2 3 6, cover: 22 30 32 33
  data : 1 13 20 23 24 31 , kpi : 6, rept: 1 2 3 5, cover: 23 30 32 33
  data : 1 13 20 24 30 31 , kpi : 6, rept: 1 2 2 5, cover: 23 30 32 33
  data : 1 13 21 22 24 31 , kpi : 6, rept: 1 2 2 4, cover: 23 30 32 33
  data : 1 13 21 23 24 28 , kpi : 6, rept: 1 2 3 4, cover: 23 30 32 33
  data : 1 13 21 23 24 29 , kpi : 5, rept: 1 2 3 4, cover: 23 30 32 33
  data : 1 13 21 23 24 30 , kpi : 6, rept: 1 2 3 5, cover: 22 30 32 33
  data : 1 13 21 23 24 31 , kpi : 5, rept: 1 2 3 4, cover: 23 30 32 33
  data : 1 13 21 24 30 31 , kpi : 6, rept: 1 2 2 4, cover: 23 30 32 33
  data : 1 14 17 20 24 30 , kpi : 6, rept: 1 2 3 6, cover: 23 30 32 33
  data : 1 14 17 21 24 30 , kpi : 6, rept: 1 2 3 5, cover: 23 30 32 33
  data : 1 14 18 20 24 30 , kpi : 5, rept: 1 2 3 6, cover: 23 30 32 33
  data : 1 14 18 21 24 30 , kpi : 6, rept: 1 2 3 5, cover: 23 30 32 33
  data : 1 14 19 20 24 29 , kpi : 6, rept: 1 2 4 6, cover: 23 30 32 33
  data : 1 14 19 20 24 31 , kpi : 6, rept: 1 2 4 6, cover: 23 30 32 33
  data : 1 14 19 21 24 28 , kpi : 6, rept: 1 2 4 5, cover: 23 30 32 33
  data : 1 14 19 21 24 29 , kpi : 6, rept: 1 2 4 5, cover: 23 30 32 33
  data : 1 14 19 21 24 30 , kpi : 6, rept: 1 2 4 6, cover: 22 30 32 33
  data : 1 14 19 21 24 31 , kpi : 6, rept: 1 2 4 5, cover: 23 30 32 33
  data : 1 14 20 22 24 28 , kpi : 6, rept: 1 2 3 6, cover: 23 30 32 33
  data : 1 14 20 22 24 31 , kpi : 6, rept: 1 2 3 6, cover: 23 30 32 33
  data : 1 14 20 23 24 31 , kpi : 6, rept: 1 2 4 6, cover: 23 30 32 33
  data : 1 14 20 24 27 30 , kpi : 6, rept: 1 2 3 6, cover: 23 30 32 33
  data : 1 14 20 24 28 30 , kpi : 5, rept: 1 2 3 6, cover: 23 30 32 33
  data : 1 14 20 24 29 30 , kpi : 6, rept: 1 2 3 6, cover: 23 30 32 33
  data : 1 14 20 24 30 31 , kpi : 6, rept: 1 2 3 6, cover: 23 30 32 33
  data : 1 14 21 22 24 28 , kpi : 6, rept: 1 2 3 5, cover: 23 30 32 33
  data : 1 14 21 22 24 29 , kpi : 6, rept: 1 2 3 5, cover: 23 30 32 33
  data : 1 14 21 22 24 30 , kpi : 6, rept: 1 2 3 6, cover: 22 30 32 33
  data : 1 14 21 22 24 31 , kpi : 6, rept: 1 2 3 5, cover: 23 30 32 33
